City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Esmeralda,CU,75.52,light rain,21.8525,-78.1169,Centro de Pioneros Exploradores
426,Adrar,MR,87.44,scattered clouds,20.5022,-10.0711,
430,Baculin,PH,85.86,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
432,Ishinomaki,JP,82.4,broken clouds,38.4167,141.3,Ishinomaki Grand Hotel
433,Sur,OM,86.85,broken clouds,22.5667,59.5289,Sur Plaza Hotel
434,Kiunga,PG,80.49,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
439,Zhigansk,RU,81.37,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
441,Najran,SA,86.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
442,Agirish,RU,77.58,clear sky,61.9247,63.0231,
445,Brownsville,US,83.08,scattered clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
448,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
450,Fukue,JP,89.96,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
455,Avera,US,80.11,overcast clouds,33.194,-82.5271,
456,Vostok,RU,87.42,overcast clouds,46.4856,135.8833,
457,Manadhoo,MV,79.92,overcast clouds,5.7667,73.3833,Bon Abri maldives
464,Tarakan,ID,87.3,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
475,Iracoubo,GF,75.49,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
477,Sandur,IN,88.7,clear sky,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
482,Pangkalanbuun,ID,83.48,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
485,Jiangyou,CN,88.21,scattered clouds,31.7667,104.7167,Shangping Shuyuan Inn
486,Ekibastuz,KZ,75.47,overcast clouds,51.6667,75.3667,
493,Cancun,MX,82.33,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
494,Sinnamary,GF,76.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
498,Carmen,MX,81.57,broken clouds,18.6333,-91.8333,Hotel Lossandes
501,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
504,Mishan,CN,84.2,broken clouds,45.55,131.8833,Mishan Hotel
505,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
506,Ambon,ID,80.74,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
508,Yatou,CN,84.22,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
